table,file,main_message,source_script,source_output_file
S04,S04_cpg_filtering_selection_summary.csv,Candidate CpG workflow counts from finalized sparse-stability outputs.,classifier/scripts/28_build_final_candidate_thesis_outputs.R,
S05,S05_umap_tsne_coordinates_combat_pca30.csv,UMAP and t-SNE coordinates with sample metadata.,data_preprocessing/03_umap_tsne_liver.R,umap_tsne_coordinates_combat_pca30.csv
S06,S06_umap_tsne_parameters_combat_pca30.csv,Parameter settings used for the supplementary UMAP/t-SNE embeddings.,data_preprocessing/03_umap_tsne_liver.R,umap_tsne_parameters_combat_pca30.csv
S07,S07_beta_histogram_by_diseasegroup_combat.csv,Supplementary histogram counts used for F12A beta distributions by DiseaseGroup.,data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
S08,S08_cross_study_supported_elastic_net_candidates.csv,Machine-readable statistical summary for cross-study-supported Elastic-Net-derived candidates.,classifier/scripts/28_build_final_candidate_thesis_outputs.R,
S09,S09_top30_biological_review.csv,Machine-readable manually curated biological review for the statistical Top 30 candidates.,classifier/scripts/28_build_final_candidate_thesis_outputs.R,
T24,T24_metadata_dictionary_pheno_all_liver_filtered.csv,"Method-audit table: data dictionary for the final phenotype table, including type, missingness, and pipeline use.",data_preprocessing/01_preprocessing_liver.R,curated metadata dictionary of pheno_all_liver_filtered
T25,T25_sample_exclusion_flow_650_to_621.csv,Method-audit table: sample-level exclusion flow from 650 harmonized beta-profile samples to the final 621-sample deduplicated cohort.,data_preprocessing/01_preprocessing_liver.R,technical_replicate_resolution_audit.csv + disease-label exclusions
T26,T26_classifier_input_matrix_manifest.csv,"Method-audit table: exact classifier input matrices and processing state, including filtered vs imputed vs ComBat usage.",classifier/scripts/01_prepare_classifier_data.R,classifier input matrix manifest
T27,T27_classifier_run_design_seeds_cv.csv,"Method-audit table: classifier run IDs, seeds, split rules, fold counts, and tuning metric.",classifier/scripts/01_prepare_classifier_data.R,run design recorded per classifier run
T28,T28_classifier_loso_fold_design.csv,"Method-audit table: LOSO fold design with held-out study, training studies, sample counts, and class counts.",classifier/scripts/07_evaluate_loso_elastic_net.R,LOSO fold design recorded per fold
T29,T29_eaa_effects_all_contrasts_with_bh_fdr.csv,Complete EAA effect table with Raw/pre-ComBat primary and ComBat sensitivity group contrasts.,epigenetic_age/03_eaa_audit_outputs.R,
T30,T30_eaa_multiple_testing_summary.csv,EAA multiple-testing summary by outcome family and matrix.,epigenetic_age/03_eaa_audit_outputs.R,
T31,T31_classifier_covariate_baseline_availability.csv,Method-audit table: availability and metrics for classifier covariate-set baseline runs.,classifier/scripts/01_prepare_classifier_data.R,curated covariate availability summary
T32,T32_classifier_tuning_grid_summary.csv,"Method-audit table: classifier tuning grids, inner-CV rules, and feature-selection settings.",classifier/scripts/03_train_elastic_net.R,curated hyperparameter grid summary
T33,T33_cpg_stability_selection_criteria.csv,"Method-audit table: CpG stability, strict cross-study, and biology-aware selection criteria.",classifier/scripts/07_evaluate_loso_elastic_net.R,curated stability-selection criteria
T34,T34_software_versions_runtime.csv,"Method-audit table: runtime, package versions, git/lockfile status, and environment notes.",workflow/run_pipeline.sh,runtime session information; see docs/SOFTWARE.md
T35,T35_classifier_output_sanity_audit_summary.csv,Method-audit table: classifier output sanity-audit status summary.,classifier/scripts/07_evaluate_loso_elastic_net.R,curated output sanity audit
T36,T36_pipeline_checklist_resolution.csv,Method-audit table: checklist mapping the review comments to implemented outputs or documented limitations.,workflow/run_pipeline.sh,curated pipeline checklist
T37,T37_bmi_availability_audit_eaa.csv,BMI availability in the final EAA-eligible cohort after technical replicate resolution.,epigenetic_age/02_bmi_audit_eaa_sensitivity.R,
T38,T38_johnson_bmi_eaa_sensitivity.csv,Johnson-only BMI sensitivity for residual EAA advanced-fibrosis effects in Raw/pre-ComBat primary and ComBat sensitivity matrices.,epigenetic_age/02_bmi_audit_eaa_sensitivity.R,
T39,T39_eaa_diseasegroup_primary_sensitivity_contrasts.csv,"Focused 60-per-matrix DiseaseGroup EAA contrasts with beta, confidence interval, p-value, and q-value.",epigenetic_age/03_eaa_audit_outputs.R,
T40,T40_eaa_clock_probe_handling_audit.csv,Clock CpG coverage and handling audit for the inferential and calculated-but-excluded EAA clocks.,epigenetic_age/03_eaa_audit_outputs.R,
T41,T41_johnson_eaa_residualization_audit.csv,Johnson-only audit comparing global age residuals with Johnson-only age residuals.,epigenetic_age/03_eaa_audit_outputs.R,
T42,T42_preprocessing_probe_filtering_replicate_audit.csv,"Method-audit table: exact Detection-p filtering rule, detP availability, CpG/sample removal counts, and technical-replicate collapse method by dataset.",data_preprocessing/01_preprocessing_liver.R,preprocessing probe-filtering and replicate audit
T43,T43_technical_replicate_resolution_audit.csv,"Method-audit table: technical-replicate groups collapsed to biological samples, with source profile IDs.",data_preprocessing/01_preprocessing_liver.R,technical_replicate_resolution_audit.csv
