table,file,main_message,source_script,source_output_file
T00,T00_study_overview_final_cohort.csv,"Simple final-cohort overview by study, sample count, array platform, age, sex, and progression groups.",data_preprocessing/01_preprocessing_liver.R,pheno_dataset_counts.csv
T00A,T00A_data_source_processing_overview.csv,"Data-source overview with accession/source, array platform, input type, preprocessing route, and final sample count.",data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T00B,T00B_metadata_completeness_final_cohort.csv,"Metadata completeness by final study cohort, including age, sex, disease labels, and available histology-like fields.",data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T00C,T00C_disease_label_harmonization_summary.csv,Dataset-specific disease-label harmonization summary with included/excluded sample counts and mapping notes.,data_preprocessing/01_preprocessing_liver.R,sample_grouping_audit_final_check.csv
T00D,T00D_beta_distribution_by_diseasegroup_combat_summary.csv,Sampled ComBat beta-value distribution summary by final DiseaseGroup.,data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T00E,T00E_thesis_dataset_overview.csv,"One-table thesis overview of datasets, repository, sample counts before/final filtering, raw labels, final labels, metadata, and removals.",data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T01,T01_cohort_composition_by_dataset_disease_progression.csv,"Final cohort composition by study, DiseaseGroup, and Progression3.",data_preprocessing/01_preprocessing_liver.R,xtab_dataset_diseasegroup.csv / xtab_dataset_progression3.csv
T02,T02_preprocessing_qc_summary.csv,Key preprocessing dimensions and QC values.,data_preprocessing/01_preprocessing_liver.R,imputation_combat_qc.csv
T03,T03_within_dataset_pca_variance_explained.csv,PC1-PC3 variance explained for raw/pre-ComBat within-study PCAs.,data_preprocessing/02_pca_liver.R,T03_within_dataset_pca_variance_explained.csv
T04,T04_selected_clock_probe_coverage_combat.csv,Coverage of selected epigenetic clocks after excluding HRS-InCH PhenoAge and GrimAgeV2.,epigenetic_age/03_eaa_audit_outputs.R,clock_probe_coverage_ComBat_betas.csv
T06,T06_classifier_model_comparison.csv,Classifier performance across outcomes and validation strategies.,classifier/scripts/17_compare_classifier_models.R,model_comparison_three_classifiers.csv
T08,T08_interpretation_top15_cpg_candidates.csv,Fifteen candidates prioritized for biological interpretation from the corrected sparse-stability candidate pipeline.,classifier/scripts/28_build_final_candidate_thesis_outputs.R,T08_interpretation_top15_cpg_candidates.csv
T09,T09_strict_internal_support_cpg_candidates.csv,Strict internal-support subset among cross-study-supported Elastic-Net-derived candidates.,classifier/scripts/28_build_final_candidate_thesis_outputs.R,T09_strict_internal_support_cpg_candidates.csv
T10,T10_beta_histogram_counts_raw_vs_combat.csv,Sampled beta-value histogram counts for Raw and ComBat matrices.,data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T11,T11_global_pca_scree_raw_vs_combat_top10.csv,Raw and ComBat PCA variance explained for the first ten PCs.,data_preprocessing/02_pca_liver.R,pca_df_raw_vs_combat_top50k.csv
T12,T12_classifier_cohort_by_outcome_dataset_class.csv,"Classifier cohort counts by outcome definition, study, and class.",classifier/scripts/01_prepare_classifier_data.R,curated summary of this script's outputs
T13,T13_cohort_age_sex_dataset_descriptive_stats.csv,"Cohort-level age, sex, and dataset descriptive statistics by DiseaseGroup and Progression3.",data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T14,T14_pca_score_descriptive_stats_raw_vs_combat.csv,"PCA score means, standard deviations, medians, and IQRs by group for Raw and ComBat matrices.",data_preprocessing/02_pca_liver.R,pca_df_raw_vs_combat_top50k.csv
T15,T15_eaa_residual_descriptive_stats_raw_vs_combat.csv,"Residual EAA descriptive statistics by clock, group, and correction state.",epigenetic_age/01_epi_age_calculation.R,clock_cohort_pheno.csv
T16,T16_beta_distribution_summary_raw_vs_combat.csv,"Sampled beta-value distribution summary with mean, standard deviation, median, and IQR.",data_preprocessing/01_preprocessing_liver.R,curated summary of this script's outputs
T18,T18_kurokawa_transfer_prediction_summary.csv,Cross-etiology transfer of the primary four-class Elastic Net classifier to the Kurokawa/GSE60753 cohort: median advanced-fibrosis probability and AUC against the normal/reference group (reported as Supplementary Table 7.10).,classifier/scripts/25_kurokawa_transfer_analysis.R,T18_kurokawa_transfer_prediction_summary.csv
T20,T20_johnson_validation_dataset_counts.csv,Sample counts per dataset and disease group in the Johnson holdout validation.,classifier/scripts/24_plot_johnson_holdout_validation.R,johnson_validation_after_kim_dataset_counts.csv
T21,T21_johnson_validation_top_predictions.csv,Highest-confidence predictions in the Johnson holdout cohort.,classifier/scripts/24_plot_johnson_holdout_validation.R,johnson_validation_after_kim_top_predictions.csv
T22,T22_johnson_validation_prediction_summary.csv,Predicted versus observed classes in the Johnson holdout cohort.,classifier/scripts/24_plot_johnson_holdout_validation.R,johnson_validation_after_kim_prediction_summary.csv
T23,T23_johnson_validation_probability_summary.csv,Mean predicted class probabilities per observed group in the Johnson holdout cohort.,classifier/scripts/24_plot_johnson_holdout_validation.R,johnson_validation_after_kim_probability_summary.csv
